NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
95,293,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS SIMPANG LIMA,AKTIF
96,300,CABANG,CABANG KELAS 2,CABANG TEBING TINGGI,AKTIF
97,303,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM DOLOK MASIHUL,AKTIF
98,309,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM MPP TEBING TINGGI,AKTIF
99,307,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 ,CAPEM THAMRIN ,TUTUP
100,310,CABANG,CABANG KELAS 2,CABANG BINJAI,AKTIF
101,314,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM KUALA,AKTIF
102,315,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM DISKI,AKTIF
103,316,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM LINCHUN,AKTIF
104,317,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PASAR TAVIP,AKTIF
105,324,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS TANDEM,AKTIF
106,320,CABANG,CABANG KELAS 2,CABANG TARUTUNG,AKTIF
107,322,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIBORONG-BORONG,AKTIF
108,323,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TARUTUNG,AKTIF
109,325,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS SARULLA,AKTIF
110,326,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PANGARIBUAN,AKTIF
111,330,CABANG,CABANG KELAS 2,CABANG TANJUNG BALAI,AKTIF
